level,seed,wifiStandard,trafficType,nStations,distance,simulationTime,packetSize,interval,maxPackets,propagationModel,dataRate,payloadSize,offeredLoadMbps,flowId,source,destination,txPackets,rxPackets,lostPackets,pdr,throughputMbps,meanDelay,source_file,flow,2,80211g,tcp,30,50.0,10.0,1024,0.5,20,friis,2Mbps,1024.1,60.0,1,10.1.1.1,10.1.1.31,2270,2270.1,0,1.0,1.35083,0.004406,dataRateMbps
aggregate,3.0,80211ax,tcp,30.0,50.0,10.0,1024.0,0.5,20.0,friis,2Mbps,1024.0,60.0,-1.0,ALL_STA,10.1.1.31,46822.0,46773.0,49.0,0.999,18.402513,0.000422,project/results_tcp/raw/80211ax/friis/nodes_30/run_tcp_80211ax_friis_30nodes_50m_seed3.csv,,,,,,,,,,,,,,,,,,,,,,,,2.0
aggregate,1.0,80211ax,tcp,30.0,5.0,10.0,1024.0,0.5,20.0,friis,2Mbps,1024.0,60.0,-1.0,ALL_STA,10.1.1.31,157960.0,152792.0,5168.0,0.9673,62.866411,0.125659,project/results_tcp/raw/80211ax/friis/nodes_30/run_tcp_80211ax_friis_30nodes_5m_seed1.csv,,,,,,,,,,,,,,,,,,,,,,,,2.0
aggregate,2.0,80211ax,tcp,30.0,5.0,10.0,1024.0,0.5,20.0,friis,2Mbps,1024.0,60.0,-1.0,ALL_STA,10.1.1.31,160967.0,155228.0,5739.0,0.9643,64.232499,0.121647,project/results_tcp/raw/80211ax/friis/nodes_30/run_tcp_80211ax_friis_30nodes_5m_seed2.csv,,,,,,,,,,,,,,,,,,,,,,,,2.0
aggregate,3.0,80211ax,tcp,30.0,5.0,10.0,1024.0,0.5,20.0,friis,2Mbps,1024.0,60.0,-1.0,ALL_STA,10.1.1.31,157920.0,151880.0,6040.0,0.9618,63.056875,0.129527,project/results_tcp/raw/80211ax/friis/nodes_30/run_tcp_80211ax_friis_30nodes_5m_seed3.csv,,,,,,,,,,,,,,,,,,,,,,,,2.0
aggregate,1.0,80211ax,tcp,5.0,10.0,10.0,1024.0,0.5,20.0,friis,1Mbps,1024.0,5.0,-1.0,ALL_STA,10.1.1.6,14628.0,14628.0,0.0,1.0,5.753591,0.000235,project/results_tcp/raw/80211ax/friis/nodes_5/run_tcp_80211ax_friis_5nodes_10m_seed1.csv,,,,,,,,,,,,,,,,,,,,,,,,1.0
aggregate,2.0,80211ax,tcp,5.0,10.0,10.0,1024.0,0.5,20.0,friis,1Mbps,1024.0,5.0,-1.0,ALL_STA,10.1.1.6,14634.0,14634.0,0.0,1.0,5.755082,0.000164,project/results_tcp/raw/80211ax/friis/nodes_5/run_tcp_80211ax_friis_5nodes_10m_seed2.csv,,,,,,,,,,,,,,,,,,,,,,,,1.0
aggregate,3.0,80211ax,tcp,5.0,10.0,10.0,1024.0,0.5,20.0,friis,1Mbps,1024.0,5.0,-1.0,ALL_STA,10.1.1.6,14625.0,14625.0,0.0,1.0,5.753045,0.000329,project/results_tcp/raw/80211ax/friis/nodes_5/run_tcp_80211ax_friis_5nodes_10m_seed3.csv,,,,,,,,,,,,,,,,,,,,,,,,1.0
aggregate,1.0,80211ax,tcp,5.0,20.0,10.0,1024.0,0.5,20.0,friis,1Mbps,1024.0,5.0,-1.0,ALL_STA,10.1.1.6,14628.0,14628.0,0.0,1.0,5.753571,0.000239,project/results_tcp/raw/80211ax/friis/nodes_5/run_tcp_80211ax_friis_5nodes_20m_seed1.csv,,,,,,,,,,,,,,,,,,,,,,,,1.0
aggregate,2.0,80211ax,tcp,5.0,20.0,10.0,1024.0,0.5,20.0,friis,1Mbps,1024.0,5.0,-1.0,ALL_STA,10.1.1.6,14634.0,14634.0,0.0,1.0,5.755024,0.000167,project/results_tcp/raw/80211ax/friis/nodes_5/run_tcp_80211ax_friis_5nodes_20m_seed2.csv,,,,,,,,,,,,,,,,,,,,,,,,1.0
aggregate,3.0,80211ax,tcp,5.0,20.0,10.0,1024.0,0.5,20.0,friis,1Mbps,1024.0,5.0,-1.0,ALL_STA,10.1.1.6,14625.0,14625.0,0.0,1.0,5.753114,0.000334,project/results_tcp/raw/80211ax/friis/nodes_5/run_tcp_80211ax_friis_5nodes_20m_seed3.csv,,,,,,,,,,,,,,,,,,,,,,,,1.0
aggregate,1.0,80211ax,tcp,5.0,30.0,10.0,1024.0,0.5,20.0,friis,1Mbps,1024.0,5.0,-1.0,ALL_STA,10.1.1.6,14628.0,14628.0,0.0,1.0,5.7536,0.000242,project/results_tcp/raw/80211ax/friis/nodes_5/run_tcp_80211ax_friis_5nodes_30m_seed1.csv,,,,,,,,,,,,,,,,,,,,,,,,1.0
aggregate,2.0,80211ax,tcp,5.0,30.0,10.0,1024.0,0.5,20.0,friis,1Mbps,1024.0,5.0,-1.0,ALL_STA,10.1.1.6,14634.0,14634.0,0.0,1.0,5.755077,0.00017,project/results_tcp/raw/80211ax/friis/nodes_5/run_tcp_80211ax_friis_5nodes_30m_seed2.csv,,,,,,,,,,,,,,,,,,,,,,,,1.0
aggregate,3.0,80211ax,tcp,5.0,30.0,10.0,1024.0,0.5,20.0,friis,1Mbps,1024.0,5.0,-1.0,ALL_STA,10.1.1.6,14625.0,14625.0,0.0,1.0,5.75308,0.000343,project/results_tcp/raw/80211ax/friis/nodes_5/run_tcp_80211ax_friis_5nodes_30m_seed3.csv,,,,,,,,,,,,,,,,,,,,,,,,1.0
aggregate,1.0,80211ax,tcp,5.0,40.0,10.0,1024.0,0.5,20.0,friis,1Mbps,1024.0,5.0,-1.0,ALL_STA,10.1.1.6,14628.0,14628.0,0.0,1.0,5.75356,0.000253,project/results_tcp/raw/80211ax/friis/nodes_5/run_tcp_80211ax_friis_5nodes_40m_seed1.csv,,,,,,,,,,,,,,,,,,,,,,,,1.0
aggregate,2.0,80211ax,tcp,5.0,40.0,10.0,1024.0,0.5,20.0,friis,1Mbps,1024.0,5.0,-1.0,ALL_STA,10.1.1.6,14634.0,14634.0,0.0,1.0,5.755068,0.000177,project/results_tcp/raw/80211ax/friis/nodes_5/run_tcp_80211ax_friis_5nodes_40m_seed2.csv,,,,,,,,,,,,,,,,,,,,,,,,1.0
aggregate,3.0,80211ax,tcp,5.0,40.0,10.0,1024.0,0.5,20.0,friis,1Mbps,1024.0,5.0,-1.0,ALL_STA,10.1.1.6,14625.0,14625.0,0.0,1.0,5.753073,0.000353,project/results_tcp/raw/80211ax/friis/nodes_5/run_tcp_80211ax_friis_5nodes_40m_seed3.csv,,,,,,,,,,,,,,,,,,,,,,,,1.0
