level,seed,wifiStandard,nStations,distance,simulationTime,packetSize,interval,maxPackets,propagationModel,dataRate,payloadSize,offeredLoadMbps,flowId,source,destination,txPackets,rxPackets,lostPackets,pdr,throughputMbps,meanDelay,source_file,dataRateMbps
flow,3,80211ax,10,30.0,10.0,1024,0.5,20,friis,2Mbps,1024,20.0,9,10.1.1.9,10.1.1.11,1951,1950,1,0.9995,2.054648,0.000164,project/results/raw/80211ax/friis/nodes_10/run_80211ax_friis_10nodes_30m_seed3.csv,2.0
flow,3,80211ax,10,30.0,10.0,1024,0.5,20,friis,2Mbps,1024,20.0,10,10.1.1.10,10.1.1.11,1950,1950,0,1.0,2.055703,0.000154,project/results/raw/80211ax/friis/nodes_10/run_80211ax_friis_10nodes_30m_seed3.csv,2.0
flow,1,80211ax,10,40.0,10.0,1024,0.5,20,friis,2Mbps,1024,20.0,1,10.1.1.1,10.1.1.11,1953,1953,0,1.0,2.055708,0.000247,project/results/raw/80211ax/friis/nodes_10/run_80211ax_friis_10nodes_40m_seed1.csv,2.0
flow,1,80211ax,10,40.0,10.0,1024,0.5,20,friis,2Mbps,1024,20.0,2,10.1.1.2,10.1.1.11,1952,1952,0,1.0,2.055639,0.000371,project/results/raw/80211ax/friis/nodes_10/run_80211ax_friis_10nodes_40m_seed1.csv,2.0
flow,1,80211ax,10,40.0,10.0,1024,0.5,20,friis,2Mbps,1024,20.0,3,10.1.1.3,10.1.1.11,1952,1952,0,1.0,2.055683,0.000295,project/results/raw/80211ax/friis/nodes_10/run_80211ax_friis_10nodes_40m_seed1.csv,2.0
flow,1,80211ax,10,40.0,10.0,1024,0.5,20,friis,2Mbps,1024,20.0,4,10.1.1.4,10.1.1.11,1952,1952,0,1.0,2.055644,0.000304,project/results/raw/80211ax/friis/nodes_10/run_80211ax_friis_10nodes_40m_seed1.csv,2.0
flow,1,80211ax,10,40.0,10.0,1024,0.5,20,friis,2Mbps,1024,20.0,5,10.1.1.5,10.1.1.11,1952,1951,1,0.9995,2.054543,0.000471,project/results/raw/80211ax/friis/nodes_10/run_80211ax_friis_10nodes_40m_seed1.csv,2.0
flow,1,80211ax,10,40.0,10.0,1024,0.5,20,friis,2Mbps,1024,20.0,6,10.1.1.6,10.1.1.11,1951,1950,1,0.9995,2.054603,0.000494,project/results/raw/80211ax/friis/nodes_10/run_80211ax_friis_10nodes_40m_seed1.csv,2.0
flow,1,80211ax,10,40.0,10.0,1024,0.5,20,friis,2Mbps,1024,20.0,7,10.1.1.7,10.1.1.11,1951,1949,2,0.999,2.053595,0.000178,project/results/raw/80211ax/friis/nodes_10/run_80211ax_friis_10nodes_40m_seed1.csv,2.0
flow,1,80211ax,10,40.0,10.0,1024,0.5,20,friis,2Mbps,1024,20.0,8,10.1.1.8,10.1.1.11,1951,1951,0,1.0,2.055702,0.000155,project/results/raw/80211ax/friis/nodes_10/run_80211ax_friis_10nodes_40m_seed1.csv,2.0
